"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"The British Journal of Psychiatry","Neurosciences - Clinical Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","Hybrid","3463"
"The Bryologist","Ecology & Evolution - Genetics; Plants - Generalist","The American Bryological and Lichenological Society","Non-profit","Hybrid",""
"The Bulletin of the Ecological Society of America","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","0"
"The Canadian Journal of Psychiatry","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","543"
"The Cerebellum","Neurosciences - Generalist","Springer Nature","For-profit","Hybrid","3521"
"The Clinical Journal of Pain","Neurosciences - Pain","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3386"
"The Clinical Neuropsychologist","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","Hybrid","3765"
"The CRISPR Journal","Genetics & Genomics - Molecular and Cellular Genetics","Sage Publishing","For-profit","Hybrid","2818"
"The European Journal of Development Research","Development - Generalist","Springer Nature","For-profit associated with a society","Hybrid","2455"
"The FASEB Journal","Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","3153"
"The International Journal of Aging and Human Development","Anatomy & Physiology - Aging; Development - Aging","Sage Publishing","For-profit","",""
"The International Journal of Behavioral Development","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","278"
"The International Journal of Biostatitics","Generalist - Statistics","De Gruyter Brill","For-profit","",""
"The International Journal of Neuropsychopharmacology","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Oxford University Press (OUP)","University Press","OA","1881"
"The International Journal of Psychiatry in Medicine","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","",""
"The Journal of Biochemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Oxford University Press (OUP)","University Press","OA","2415"
"The Journal of Cerebral Blood Flow & Metabolism","Neurosciences - Neurophysiology","Sage Publishing","For-profit associated with a society","Hybrid","2959"
"The Journal of Child Psychology and Psychiatry","Neurosciences - Developmental Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","2437"
"The Journal of Clinical Psychiatry","Neurosciences - Clinical Neuroscience","Physicians Postgraduate Press","Non-profit","Hybrid","3245"
"The Journal of Experimental Biology","Ecology & Evolution - Genetics; Generalist","The Company of Biologists","Non-profit","Hybrid","3289"
"The Journal of Headache and Pain","Neurosciences - Pain","Springer Nature (BioMed Central)","For-profit","OA","2658"
"The Journal of Heart Lung Transplantation","Immunology - Transplant Immunology","Elsevier","For-profit associated with a society","Hybrid","2742"
"The Journal of Immunology","Immunology - Generalist/Classical Immunology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2455"
"The Journal of Infectious Diseases","Immunology - Immunopathology","Oxford University Press (OUP)","University Press","OA","3020"
"The Journal of Neuropsychiatry and Clinical Neurosciences","Neurosciences - Clinical Neuroscience","American Neuropsychiatric Association","Non-profit","",""
"The Journal of Nutrition Health and Aging","Anatomy & Physiology - Nutrition","Elsevier","For-profit","OA","1723"
"The Journal of Pain","Neurosciences - Pain","United States Association for the Study of Pain (USASP)","Non-profit","Hybrid","2843"
"The Journal of Parasitology","Ecology & Evolution - Health; Immunology - Parasitology","CJK Group (Allen Press)","For-profit associated with a society","OA","1114"
"The Journal of Pathology: Clinical Research","Immunology - Immunopathology","John Wiley & Sons","For-profit associated with a society","OA","2388"
"The Journal of Physiological Sciences","Anatomy & Physiology - Physiology","Elsevier","For-profit associated with a society","OA","920"
"The Journal of Sexual Medicine","Generalist - Clinical/Medicine","Oxford University Press (OUP)","University Press","Hybrid","1297"
"The Journals of Gerontology Series A: Biological Sciences and Medical Sciences","Anatomy & Physiology - Aging; Development - Aging; Ecology & Evolution - Health","Oxford University Press (OUP)","University Press associated with a society","Hybrid","3854"
"The Journals of Gerontology Series B: Psychological Sciences and Social Sciences","Anatomy & Physiology - Aging; Development - Aging; Neurosciences - Developmental Neuroscience","Oxford University Press (OUP)","University Press","Hybrid","2999"
"The Lancet","Generalist - Clinical/Medicine","Elsevier","For-profit","Hybrid","4621"
"The Lancet Child and Adolescent Health","Development - Childhood and Adolescence","Elsevier","For-profit","Hybrid","4478"
"The Lancet Global Health","Generalist","Elsevier","For-profit","OA","4924"
"The Lancet HIV","Immunology - Virology","Elsevier","For-profit","Hybrid","4577"
"The Lancet Infectious Diseases","Immunology - Immunopathology","Elsevier","For-profit","Hybrid","4627"
"The Lancet Microbe","Immunology - Immunopathology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier","For-profit","OA","5053"
"The Lancet Neurology","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","4864"
"The Lancet Oncology","Cancer - Generalist","Elsevier","For-profit","Hybrid","5055"
"The Lancet Psychiatry","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","5085"
"The Lichenologist","Plants - Generalist","Cambridge University Press (CUP)","University Press","Hybrid","2132"
"The Neurologist","Neurosciences - Clinical Neuroscience","Wolters Kluwer","For-profit","",""
"The Neuroscientist","Neurosciences - Generalist","Sage Publishing","For-profit","Hybrid","778"
"The New England Journal of Medicine","Generalist - Clinical/Medicine","Massachusetts Medical Society","Non-profit","Hybrid",""
"The Oncologist","Cancer - Generalist","Oxford University Press (OUP)","University Press associated with a society","OA","2600"
"The Plant Cell","Molecular & Cellular Biology - Plant Biology and Physiology; Plants - Molecular and Cellular Biology","Oxford University Press (OUP)","University Press","Hybrid","2974"
"The Plant Genome","Genetics & Genomics - Plant Genetics; Plants - Genetics","John Wiley & Sons","For-profit associated with a society","OA","1880"
"The Plant Journal","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","3671"
"Therapeutic Advances in Infectious Disease","Immunology - Immunopathology","Sage Publishing","For-profit","OA",""
"Therapeutic Advances in Neurological Disorders","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","OA","1929"
"The World Journal of Biological Psychiatry","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","1464"
"Tissue and Cell","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit","Hybrid","2639"
"Toxicologic Pathology","Immunology - Immunotoxicology","Sage Publishing","For-profit associated with a society","Hybrid","3025"
"Transactions of the American Entomological Society","Ecology & Evolution - Zoology","BioOne","Non-profit","Subscription",""
"Transboundary and Emerging Diseases","Ecology & Evolution - Health; Immunology - Immunopathology","John Wiley & Sons","For-profit associated with a society","Hybrid","3421"
"Transcranial Magnetic Stimulation","Neurosciences - Neuromodulation","Elsevier","For-profit","OA",""
"Translational Neurodegeneration","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","2084"
"Translational Neuroscience","Neurosciences - Generalist","De Gruyter Brill","For-profit","OA","1590"
"Translational Oncology","Cancer - Generalist","Elsevier","For-profit","OA","2236"
"Translational Psychiatry","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","OA","3602"
"Translational Stroke Research","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","3635"
"Translational Vision Science and Technology","Neurosciences - Sensory Neuroscience","The Association for Research in Vision and Ophtalmology (ARVO)","Non-profit","OA","1709"
"Transplantation","Immunology - Transplant Immunology","Wolters Kluwer","For-profit associated with a society","OA",""
"Transplantation and Cellular Therapy","Immunology - Transplant Immunology","Elsevier","For-profit associated with a society","Hybrid","3243"
"Transplantation Proceedings","Immunology - Transplant Immunology","Elsevier","For-profit","Hybrid","2336"
"Transplantation Reviews","Immunology - Transplant Immunology","Elsevier","For-profit","Hybrid","2493"
"Transplant Immunology","Immunology - Transplant Immunology","Elsevier","For-profit","Hybrid","3440"
"Transplant International","Immunology - Transplant Immunology","Frontiers Media SA","For-profit associated with a society","OA","2186"
"Travel Medicine and Infectious Disease","Immunology - Immunopathology","Elsevier","For-profit associated with a society","OA","1850"
"Tree Physiology","Plants - Physiology","Oxford University Press (OUP)","University Press","Hybrid","2937"
"Trends in Cancer","Cancer - Generalist","Elsevier","For-profit","Hybrid","5479"
"Trends in Cell Biology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier (Cell Press)","For-profit","Hybrid","5830"
"Trends in Cognitive Sciences","Neurosciences - Cognitive Neuroscience","Elsevier (Cell Press)","For-profit","Hybrid","3882"
"Trends in Ecology and Evolution","Ecology & Evolution - Generalist","Elsevier","For-profit","Hybrid","3512"
"Trends in Genetics","Genetics & Genomics - Generalist","Elsevier (Cell Press)","For-profit","Hybrid","5969"
"Trends in Immunology","Immunology - Generalist/Classical Immunology","Elsevier (Cell Press)","For-profit","Hybrid","4053"
"Trends in Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier (Cell Press)","For-profit","Hybrid","5227"
"Trends in Molecular Medicine","Molecular & Cellular Biology - Miscellaneous / Interdisciplinary","Elsevier (Cell Press)","For-profit","Hybrid","5638"
"Trends in Neurosciences","Neurosciences - Generalist","Elsevier (Cell Press)","For-profit","Hybrid","4063"
"Trends in Parasitology","Immunology - Parasitology","Elsevier","For-profit","Hybrid","3645"
"Trends in Plant Science","Plants - Generalist","Elsevier (Cell Press)","For-profit","Hybrid","4457"
"Treubia","Ecology & Evolution - Zoology","Indonesian Institute of Sciences","Non-profit","OA diamond","0"
"Tropical Ecology","Ecology & Evolution - Genetics","Springer Nature","For-profit associated with a society","Hybrid","2260"
"Tropical Medicine and Infectious Disease","Ecology & Evolution - Health","MDPI","For-profit associated with a society","OA","1673"
"Tropical Plant Biology","Plants - Generalist","Springer Nature","For-profit","Hybrid","2604"
"Tumour Virus Research","Immunology - Virology","Elsevier","For-profit associated with a society","OA","1024"
"Twin Research and Human Genetics","Genetics & Genomics - Human Genetics","Cambridge University Press (CUP)","University Press","Hybrid","1283"
"Urban Ecosystems","Ecology & Evolution - Genetics","Springer Nature","For-profit associated with a society","Hybrid","2886"
"Vaccine","Immunology - Vaccinology","Elsevier","For-profit","Hybrid","2735"
"Vegetation Classification and Survey","Ecology & Evolution - Genetics","Pensoft","For-profit associated with a society","OA","1209"
"Veterinary Pathology","Immunology - Veterinary Immunology","Sage Publishing","For-profit","Hybrid","2428"
"Vie et Milieu","Ecology & Evolution - Genetics","Arago - Sorbonne Universite Region Languedoc Roussillon","Non-profit","Subscription",""
"Viral Immunology","Immunology - Virology","Sage Publishing","For-profit","Hybrid","3405"
"Virologica Sinica","Immunology - Virology","Elsevier","For-profit","Hybrid","2330"
"Virologie","Ecology & Evolution - Microbiology; Immunology - Virology","John Libbey Eurotext","For-profit associated with a society","Hybrid","333"
